"First Name","College Name","Email Address","DSA Score","React Score","WebD Score","DSA Score","Company","Date","Result"
"as","s","abs@hh",34,34,45,34,,,"Placed"
"as","s","abs@hh",34,34,45,34,,,"On-Hold"
"suppu","bit","suppu@gmail.com",98,99,98,98,,,"Failed"
"suppu","bit","suppu@gmail.com",98,99,98,98,"Google","2021-12-08T00:00:00.000Z","Failed"
"suppu","bit","suppu@gmail.com",98,99,98,98,"Google","2021-12-08T00:00:00.000Z","Failed"
"suppu","bit","suppu@gmail.com",98,99,98,98,"Google","2021-12-08T00:00:00.000Z","On-Hold"
"suppu","bit","suppu@gmail.com",98,99,98,98,"Google","2021-12-08T00:00:00.000Z","On-Hold"
"suppu","bit","suppu@gmail.com",98,99,98,98,"Google","2021-12-08T00:00:00.000Z","Failed"
"suppu","bit","suppu@gmail.com",98,99,98,98,"Google","2021-12-08T00:00:00.000Z","On-Hold"
"suppu","bit","suppu@gmail.com",98,99,98,98,"phonepay","2021-12-27T00:00:00.000Z","FAIL"
